方法   pt:6576.291440427422    sum:31635
月   pt:143.54714795008744    sum:3299
流浪   pt:143.52380952380958    sum:261
装备   pt:143.51645021645055    sum:378
共事   pt:142.70212703962943    sum:1953
名人   pt:142.14643036701892    sum:410
生命   pt:141.2853174603192    sum:1058
自动   pt:141.0    sum:281
特长   pt:140.86666666666662    sum:237
提前   pt:140.7787878787889    sum:716
美女   pt:140.75733525733537    sum:412
地位   pt:140.7293539011866    sum:1355
陈述   pt:140.299120234604    sum:221
怎样   pt:140.26666666666668    sum:498
多方面   pt:140.1142857142857    sum:245
可憎   pt:139.83333333333297    sum:461
疑问   pt:139.66666666666669    sum:289
得罪   pt:139.46666666666664    sum:225
怜悯   pt:139.36363636363643    sum:253
制订   pt:139.2303594351732    sum:806
诗   pt:139.12222222222226    sum:326
主人   pt:139.0    sum:214
咽喉   pt:138.7727272727273    sum:214
养分   pt:138.48484848484853    sum:374
挤出   pt:138.47619047619045    sum:209
职工   pt:138.14593406593403    sum:854
顽皮   pt:137.94607843137285    sum:296
传教   pt:137.876984126984    sum:1286
道德   pt:137.83745310245337    sum:702
士兵   pt:137.38655462184863    sum:265
题材   pt:137.375    sum:432
银元   pt:137.21428571428572    sum:228
突击   pt:136.92499999999995    sum:395
头昏   pt:135.98076923076943    sum:327
听说   pt:135.97619047619037    sum:844
老练   pt:135.9333333333333    sum:201
起跑   pt:135.20000000000005    sum:212
指点   pt:134.7014367816082    sum:1083
泄漏   pt:134.56491228070178    sum:251
复杂   pt:134.26470588235307    sum:473
挨次   pt:134.0261904761911    sum:635
秘书   pt:133.92771084337346    sum:147
重复   pt:133.33333333333346    sum:248
劳力   pt:132.19999999999993    sum:266
办好   pt:132.044117647059    sum:619
远   pt:131.76044571112345    sum:2817
挥动   pt:131.70000000000005    sum:227
精华   pt:131.59999999999997    sum:219
遵行   pt:131.3928571428572    sum:470
高超   pt:131.36666666666707    sum:290
签到   pt:131.31781045751632    sum:305
等候   pt:131.17857142857136    sum:847
熟悉   pt:130.6262626262644    sum:1337
判决   pt:130.06257309941526    sum:243
自杀   pt:129.73333333333352    sum:347
真情   pt:129.51355661881973    sum:1384
杰作   pt:129.33333333333343    sum:262
代言人   pt:129.0666666666666    sum:238
骤雨   pt:128.7666666666667    sum:406
日志   pt:128.66666666666666    sum:192
流传   pt:128.65934065934061    sum:479
医院   pt:128.64709098402184    sum:774
刻板   pt:128.56190476190488    sum:254
号码   pt:128.36666666666673    sum:217
年代   pt:128.18140533412236    sum:1508
姨母   pt:128.1379310344828    sum:304
饮食   pt:127.87398373983774    sum:375
确信   pt:127.84615384615384    sum:360
占先   pt:127.62857142857195    sum:394
借债   pt:127.38215488215486    sum:225
出丑   pt:127.33333333333334    sum:187
起兵   pt:126.83333333333334    sum:243
工厂   pt:126.58095238095223    sum:305
蛋   pt:126.46153846153848    sum:211
高个儿   pt:126.33333333333334    sum:222
号召   pt:125.99999999999993    sum:222
天   pt:125.99999999999989    sum:308
解放   pt:125.79999999999998    sum:193
发誓   pt:125.35573122529628    sum:228
忠诚   pt:125.1208791208791    sum:248
把持   pt:125.06666666666662    sum:299
夫妻   pt:124.79603174603176    sum:245
冲淡   pt:124.69999999999997    sum:264
开水   pt:124.50595238095232    sum:231
滚动   pt:124.48888888888911    sum:313
妞   pt:124.35999999999994    sum:318
境况   pt:124.33333333333346    sum:261
条款   pt:123.73084886128356    sum:283
坏人   pt:123.55555555555551    sum:260
亏   pt:123.50000000000003    sum:251
薪水   pt:122.79601731601733    sum:237
领队   pt:122.6999999999999    sum:266
祝愿   pt:122.66666666666707    sum:372
编成   pt:122.65062388591801    sum:714
腾空   pt:122.49999999999991    sum:196
膨胀   pt:122.38095238095246    sum:268
安静   pt:122.14285714285722    sum:293
提纯   pt:121.97619047619045    sum:224
难堪   pt:121.95374149659892    sum:948
吉利   pt:121.85747126436783    sum:938
请问   pt:121.71428571428575    sum:244
生效   pt:121.42222222222203    sum:289
交配   pt:120.94915254237277    sum:208
私   pt:120.53548387096718    sum:605
货币   pt:120.25915020263426    sum:331
升降   pt:120.1333333333333    sum:220
贬值   pt:120.0    sum:193
帮衬   pt:119.92952380952394    sum:214
单纯   pt:119.90909090909157    sum:626
考题   pt:119.7142857142855    sum:279
腹   pt:119.4666666666667    sum:213
生日   pt:119.46078431372524    sum:403
见证人   pt:119.28502673796879    sum:517
散步   pt:119.16666666666674    sum:217
突然   pt:119.16666666666667    sum:201
情致   pt:118.9714285714285    sum:221
改正   pt:118.39444444444466    sum:360
委罪   pt:118.33333333333337    sum:266
耽误   pt:118.19047619047616    sum:244
遗漏   pt:118.01904761904765    sum:217
抱   pt:117.91111111111124    sum:265
妖   pt:117.80952380952387    sum:190
刀   pt:117.11111111111124    sum:256
本领   pt:116.92307692307682    sum:203
事故   pt:116.77992277992242    sum:316
大路   pt:116.61904761904765    sum:625
搀   pt:116.39999999999993    sum:223
自己人   pt:115.9999999999999    sum:387
雄壮   pt:115.8666666666668    sum:267
痕迹   pt:115.83333333333316    sum:224
舍得   pt:115.66666666666671    sum:203
痛苦   pt:115.65686274509814    sum:773
保守   pt:115.6285714285718    sum:346
悲痛   pt:115.5    sum:179
莅临   pt:115.5    sum:191
结盟   pt:115.36870026525177    sum:359
祷告   pt:115.33333333333327    sum:207
婚事   pt:114.68294487606379    sum:331
舒服   pt:114.3333333333335    sum:198
油漆   pt:114.26783625731045    sum:258
思路   pt:114.23847657718741    sum:1071
创始人   pt:113.99858949858958    sum:787
请安   pt:113.91666666666669    sum:236
汗   pt:113.8000000000001    sum:217
目睹   pt:113.60000000000001    sum:193
虎   pt:113.56666666666662    sum:244
自学   pt:113.40000000000012    sum:198
傻子   pt:113.23076923076923    sum:220
合作者   pt:113.00000000000004    sum:275
晚饭   pt:112.99999999999997    sum:207
山顶   pt:112.66666666666671    sum:215
照亮   pt:112.66666666666666    sum:146
租用   pt:112.5    sum:149
节日   pt:111.74039938556075    sum:273
教育   pt:111.7133384262803    sum:1329
要人   pt:111.44046920821151    sum:525
招待   pt:111.4    sum:188
相似   pt:111.00000000000004    sum:258
笑话   pt:111.0    sum:239
失当   pt:110.90909090909096    sum:222
住宿   pt:110.83333333333334    sum:160
想象   pt:110.77595556617246    sum:2024
叶   pt:110.64285714285714    sum:169
笔画   pt:110.64088669950745    sum:303
火车   pt:110.60256410256414    sum:280
胜败   pt:110.46666666666665    sum:179
费用   pt:110.00000000000026    sum:388
尺码   pt:110.0    sum:265
跟随者   pt:109.93650793650798    sum:291
鞋   pt:109.86493506493522    sum:269
直率   pt:109.83333333333333    sum:179
存在   pt:109.73333333333338    sum:201
主题   pt:109.72395833333432    sum:1303
还债   pt:109.69743589743584    sum:158
离开   pt:109.6    sum:130
兔   pt:109.07222222222222    sum:203
媳妇   pt:108.96470588235297    sum:214
聘请   pt:108.60331825037701    sum:230
豪华   pt:108.44444444444449    sum:212
微音器   pt:108.44444444444444    sum:158
上级   pt:108.0    sum:168
分裂   pt:108.0    sum:169
挽回   pt:107.99999999999996    sum:217
参加   pt:107.91958781361969    sum:1189
相投   pt:107.83333333333334    sum:221
困境   pt:107.8333333333333    sum:293
磨   pt:107.76190476190466    sum:218
取决   pt:107.57748049052414    sum:713
防守   pt:107.35555555555578    sum:249
插画   pt:107.24666666666664    sum:173
女朋友   pt:106.9282138151705    sum:244
谋求   pt:106.85714285714303    sum:390
债务   pt:106.6205128205128    sum:195
超等   pt:106.39999999999999    sum:155
档案   pt:106.3    sum:171
轰   pt:106.16666666666667    sum:188
深情   pt:106.0    sum:185
表扬   pt:106.0    sum:155
摧毁   pt:105.90170940170941    sum:216
麻木   pt:105.9    sum:187
连贯   pt:105.83333333333323    sum:200
老板   pt:105.80060587902435    sum:885
下线   pt:105.46666666666697    sum:256
久违   pt:105.41666666666667    sum:264
沟渠   pt:105.35555555555584    sum:556
到家   pt:105.33333333333329    sum:783
生动   pt:105.21428571428586    sum:303
腐烂   pt:104.80317460317491    sum:315
就医   pt:104.33333333333334    sum:159
许配   pt:104.31725146198816    sum:1431
植物   pt:104.29411764705888    sum:324
肠   pt:103.87878787878788    sum:130
乱糟糟   pt:103.50000000000001    sum:147
兴致   pt:103.33333333333334    sum:160
驻扎   pt:103.29487179487154    sum:281
流入   pt:102.84593837535019    sum:186
过期   pt:102.80000000000015    sum:197
展   pt:102.57142857142857    sum:127
主意   pt:102.4    sum:180
邻近   pt:102.15652173913048    sum:190
牺牲   pt:101.99999999999974    sum:412
推卸   pt:101.66666666666669    sum:146
会话   pt:101.46981552528219    sum:863
组建   pt:101.35000000000025    sum:273
坦率   pt:101.33333333333337    sum:159
原谅   pt:101.33333333333323    sum:203
平板   pt:101.0    sum:148
尽情   pt:100.96666666666668    sum:195
广阔   pt:100.1666666666666    sum:184
草稿   pt:100.0    sum:163
编录   pt:99.94444444444446    sum:180
好心   pt:99.60606060606067    sum:280
关   pt:99.60000000000008    sum:177
奢侈   pt:99.33333333333337    sum:163
箱   pt:99.30434782608685    sum:212
钟   pt:99.18095238095245    sum:253
外祖母   pt:98.93391812865492    sum:177
怂恿   pt:98.87878787878786    sum:166
凋敝   pt:98.62745098039206    sum:185
醇厚   pt:98.62365591397847    sum:163
糊涂   pt:98.6000000000001    sum:334
批发   pt:98.57777777777767    sum:254
烈火   pt:97.88034188034197    sum:186
烧火   pt:97.4909090909091    sum:143
股   pt:97.43333333333348    sum:239
招供   pt:97.40000000000006    sum:233
墙壁   pt:97.17313131313153    sum:384
喧哗   pt:97.00000000000001    sum:206
抵押   pt:96.97619047619052    sum:176
迷路   pt:96.83333333333331    sum:204
赡养   pt:96.74242424242422    sum:189
唾液   pt:96.66428571428567    sum:225
包围   pt:96.6333333333334    sum:259
踢   pt:96.40000000000008    sum:274
叠   pt:96.33333333333334    sum:175
昏迷   pt:95.86666666666665    sum:190
裸露   pt:95.83333333333333    sum:125
拍手   pt:95.80000000000018    sum:198
料到   pt:95.72727272727266    sum:189
游泳   pt:95.66666666666671    sum:194
歌手   pt:95.55087719298268    sum:232
媒体   pt:95.36377415687764    sum:1634
凸   pt:95.21568627450986    sum:197
马虎   pt:95.0    sum:147
闪光   pt:94.68983957219253    sum:171
胖   pt:94.43355855855899    sum:352
贪心   pt:94.4259259259259    sum:199
急躁   pt:94.16666666666656    sum:211
气量   pt:94.0    sum:145
凉爽   pt:94.0    sum:199
同感   pt:93.99999999999994    sum:296
负荷   pt:93.71428571428571    sum:149
出租   pt:93.45769230769244    sum:335
书桌   pt:92.9428571428571    sum:153
浇   pt:92.87878787878788    sum:174
曲   pt:92.66666666666666    sum:140
凶犯   pt:92.60000000000008    sum:173
松手   pt:92.3333333333333    sum:149
笑容   pt:92.33333333333319    sum:260
拥挤   pt:92.06060606060605    sum:221
模板   pt:91.69175627240143    sum:229
不变   pt:91.60000000000001    sum:221
嗅   pt:91.32500000000013    sum:327
铺设   pt:91.25    sum:212
归于   pt:91.23809523809521    sum:198
列举   pt:90.98039215686275    sum:246
财物   pt:90.54999999999984    sum:273
忍心   pt:90.24060150375925    sum:307
局限   pt:90.1025641025639    sum:411
逞能   pt:90.0    sum:123
微笑   pt:90.0    sum:293
分红   pt:89.89333333333296    sum:684
尸体   pt:89.66666666666664    sum:181
泣   pt:89.50000000000004    sum:179
吵闹   pt:89.33333333333337    sum:135
突围   pt:89.30735930735923    sum:459
沉浸   pt:89.19444444444443    sum:137
行市   pt:89.11111111111116    sum:147
小康   pt:89.08571428571433    sum:180
集团公司   pt:89.07076923077004    sum:582
牢   pt:88.99999999999999    sum:160
失业   pt:88.89999999999996    sum:184
调戏   pt:88.79999999999997    sum:148
营业   pt:88.79656579656583    sum:738
民歌   pt:88.72549019607897    sum:671
多变   pt:88.54505494505491    sum:156
便宜   pt:88.14285714285714    sum:121
复辟   pt:88.0    sum:145
恐吓   pt:87.99999999999999    sum:159
接替   pt:87.83333333333333    sum:142
只   pt:87.13333333333351    sum:283
下药   pt:87.0980392156861    sum:185
杯   pt:87.05128205128206    sum:196
慎重   pt:87.0    sum:140
抄写   pt:86.80000000000001    sum:195
台词   pt:86.75000000000023    sum:253
反射   pt:86.66666666666667    sum:140
石   pt:86.53333333333339    sum:183
滑稽   pt:86.40000000000003    sum:143
漂   pt:86.36153846153849    sum:157
全家   pt:86.12121212121203    sum:213
力气   pt:85.99999999999999    sum:258
动物   pt:85.99999999999989    sum:805
剧变   pt:85.94285714285715    sum:112
出版   pt:85.93939393939367    sum:291
武力   pt:85.9166666666666    sum:410
纯洁   pt:85.71794871794876    sum:246
着想   pt:85.6    sum:265
勾结   pt:85.42857142857144    sum:130
媒人   pt:85.25    sum:171
池塘   pt:85.0    sum:131
祝贺   pt:85.0    sum:130
事项   pt:84.91428571428592    sum:229
灵活   pt:84.79999999999998    sum:237
出境   pt:84.6666666666668    sum:182
恋爱   pt:84.65807253005833    sum:636
出行   pt:84.59999999999994    sum:218
烦琐   pt:84.5333333333333    sum:184
公开   pt:84.45589743589713    sum:1420
激增   pt:84.42063492063487    sum:239
棋   pt:84.38095238095238    sum:167
生计   pt:84.25454545454559    sum:292
喝酒   pt:84.15547322588046    sum:241
蛙   pt:84.03107667749491    sum:196
大叫   pt:84.0    sum:121
发扬   pt:83.6    sum:126
深刻   pt:83.0    sum:127
避讳   pt:82.80000000000001    sum:133
革命性   pt:82.75000000000003    sum:224
通顺   pt:82.59999999999997    sum:174
炎热   pt:82.5    sum:140
飞机   pt:82.41077441077447    sum:470
外国   pt:82.33333333333346    sum:293
停滞   pt:82.00000000000003    sum:179
留学   pt:81.99999999999993    sum:145
交纳   pt:81.9824561403509    sum:140
听从   pt:81.59999999999977    sum:270
季节   pt:81.49999999999999    sum:165
家庭   pt:81.39971570717894    sum:1310
挂念   pt:81.11111111111117    sum:157
鸟瞰   pt:80.66666666666666    sum:116
整顿   pt:80.52380952380953    sum:124
杀害   pt:80.25    sum:120
少年人   pt:80.2    sum:111
漫画   pt:80.0    sum:134
卧室   pt:79.7222222222222    sum:155
信箱   pt:79.66666666666652    sum:215
照片   pt:79.64518814518773    sum:1428
分店   pt:79.60256410256407    sum:145
监工   pt:79.48888888888894    sum:299
开拓   pt:79.33333333333336    sum:142
椅子   pt:79.26666666666654    sum:161
被害人   pt:79.24999999999999    sum:293
早饭   pt:79.16666666666667    sum:175
涨潮   pt:78.99999999999996    sum:129
眼球   pt:78.81818181818186    sum:188
惭愧   pt:78.73333333333333    sum:139
雅致   pt:78.71428571428571    sum:233
纲要   pt:78.40000000000005    sum:160
流水线   pt:78.38514399064898    sum:1008
存心   pt:78.3333333333333    sum:146
对手   pt:78.17730023876975    sum:595
不论   pt:78.06666666666695    sum:437
解   pt:78.00000000000006    sum:113
积压   pt:78.0    sum:147
领会   pt:77.98412698412699    sum:109
惊恐   pt:77.83333333333331    sum:126
投资   pt:77.68855621947621    sum:1239
杀死   pt:77.66666666666677    sum:192
老好人   pt:77.66666666666671    sum:173
轻率   pt:77.66666666666666    sum:117
名帖   pt:77.54666666666671    sum:220
沉   pt:77.16666666666667    sum:156
蹂躏   pt:77.01666666666674    sum:133
侵略   pt:76.92307692307692    sum:171
手纸   pt:76.89655172413795    sum:114
庆祝   pt:76.72222222222209    sum:230
火焰   pt:76.66666666666666    sum:131
手心   pt:76.66666666666666    sum:124
宪法   pt:76.45269613427499    sum:109
签   pt:76.45238095238139    sum:1114
翼   pt:76.45177045177043    sum:157
不能   pt:76.3076923076923    sum:158
反应   pt:76.0    sum:161
魂   pt:76.0    sum:298
朴素   pt:75.6190476190476    sum:130
韬略   pt:75.60607457752413    sum:725
楼梯   pt:75.60000000000002    sum:152
心事   pt:75.59999999999998    sum:346
教训   pt:75.55769230769246    sum:382
开市   pt:75.46666666666667    sum:103
灾害   pt:75.33333333333334    sum:128
措辞   pt:75.33333333333334    sum:115
结交   pt:75.33333333333333    sum:100
食量   pt:75.0    sum:101
健康   pt:74.77948717948719    sum:184
外号   pt:74.66666666666669    sum:124
才华   pt:74.66666666666666    sum:185
吆喝   pt:74.63768115941977    sum:792
肌肉   pt:74.38679245283018    sum:285
征募   pt:74.3333333333334    sum:199
耻辱   pt:74.33333333333334    sum:123
苦痛   pt:74.2666666666667    sum:157
列为   pt:74.00000000000003    sum:200
钱包   pt:74.0    sum:233
直   pt:74.0    sum:183
调解   pt:74.0    sum:113
行驶   pt:73.99999999999999    sum:173
外国语   pt:73.85714285714286    sum:147
领袖   pt:73.69696969696975    sum:147
贯通   pt:73.65    sum:174
说谎   pt:73.4666666666667    sum:142
纸牌   pt:73.3333333333332    sum:181
疏浚   pt:73.20000000000005    sum:110
搅拌   pt:73.0    sum:93
审理   pt:72.89629629629633    sum:169
吃   pt:72.63157894736834    sum:187
灾祸   pt:72.5    sum:188
味道   pt:72.39999999999996    sum:131
故意   pt:72.33333333333334    sum:135
感激   pt:72.30000000000008    sum:161
参谋   pt:72.25    sum:327
帐幕   pt:72.0    sum:101
领子   pt:72.0    sum:84
记忆力   pt:72.0    sum:140
酸   pt:72.0    sum:116
嘱咐   pt:72.0    sum:123
年老   pt:71.66666666666669    sum:146
冲   pt:71.33333333333336    sum:347
头绪   pt:71.33333333333336    sum:278
皱纹   pt:71.28571428571428    sum:128
尖锐   pt:71.26190476190474    sum:126
宽大   pt:71.23809523809523    sum:137
参军   pt:71.21428571428574    sum:121
通篇   pt:71.18181818181824    sum:184
苦寒   pt:70.83333333333334    sum:140
偏袒   pt:70.7333333333333    sum:166
树木   pt:70.5    sum:117
避免   pt:70.4    sum:112
罢休   pt:70.33333333333337    sum:125
幼稚   pt:70.11111111111116    sum:173
催促   pt:70.04761904761907    sum:148
外地   pt:69.75757575757572    sum:132
恋   pt:69.67171717171723    sum:219
救国   pt:69.66666666666663    sum:131
监狱   pt:69.50000000000004    sum:117
要点   pt:69.5    sum:156
次   pt:69.39130434782578    sum:995
玄妙   pt:69.36363636363639    sum:205
杜绝   pt:69.33333333333334    sum:132
晴   pt:69.33333333333333    sum:100
三角形   pt:69.2904761904762    sum:156
适逢   pt:69.07142857142854    sum:143
刺绣   pt:69.05454545454579    sum:489
噜苏   pt:69.0    sum:108
概况   pt:68.88888888888887    sum:157
放任   pt:68.70885817944709    sum:2949
不足为凭   pt:68.66666666666676    sum:210
捐税   pt:68.64358974358976    sum:143
雪   pt:68.50948509485096    sum:115
豪饮   pt:68.375    sum:102
县   pt:68.3282051282051    sum:104
熟识   pt:68.25000000000001    sum:205
粮食   pt:68.12121212121212    sum:112
锤   pt:68.10000000000002    sum:140
承   pt:68.00000000000001    sum:122
谣言   pt:68.0    sum:98
吝惜   pt:68.0    sum:138
委托   pt:68.0    sum:117
免得   pt:68.0    sum:99
赋闲   pt:67.99999999999997    sum:140
衰败   pt:67.60000000000002    sum:114
翻腾   pt:67.60000000000001    sum:108
驱逐   pt:67.25    sum:88
排行   pt:66.98181818181816    sum:586
电影院   pt:66.76136363636364    sum:145
挑衅   pt:66.75    sum:95
船   pt:66.69230769230774    sum:167
毒害   pt:66.5    sum:115
趴   pt:66.28571428571436    sum:170
指教   pt:66.19999999999999    sum:113
阵   pt:66.0    sum:108
大笑   pt:66.0    sum:118
宝宝   pt:65.85175438596494    sum:313
胡子   pt:65.83333333333333    sum:107
瘫痪   pt:65.5    sum:106
人影儿   pt:65.33333333333337    sum:152
海军   pt:65.33333333333333    sum:105
粗糙   pt:65.1999999999999    sum:171
打猎   pt:65.14545454545461    sum:132
爬山   pt:65.14285714285714    sum:98
渺小   pt:65.0    sum:116
沿用   pt:65.0    sum:114
叛变   pt:64.85714285714289    sum:137
甲壳   pt:64.85714285714286    sum:109
无知   pt:64.85714285714286    sum:99
尊贵   pt:64.4000000000002    sum:272
唇   pt:64.33333333333334    sum:118
潮流   pt:64.24999999999993    sum:229
旧交   pt:64.0    sum:97
冷淡   pt:63.99999999999997    sum:132
一代人   pt:63.75    sum:209
受伤   pt:63.66666666666674    sum:184
内行   pt:63.5    sum:99
心灵   pt:63.33333333333333    sum:99
从业员   pt:63.33333333333332    sum:128
横死   pt:63.26666666666671    sum:118
天国   pt:62.9    sum:93
吐   pt:62.81481481481484    sum:154
切割   pt:62.80952380952384    sum:123
证书   pt:62.733333333333334    sum:140
婴儿   pt:62.73095890410957    sum:186
袋   pt:62.71739130434783    sum:120
飓风   pt:62.66666666666667    sum:81
折回   pt:62.66666666666666    sum:109
情报员   pt:62.63076923076924    sum:121
笑柄   pt:62.5    sum:82
仿造   pt:62.5    sum:104
利润   pt:62.444444444444535    sum:253
抽样   pt:62.428571428571416    sum:103
攀   pt:62.39393939393938    sum:401
出血   pt:62.34285714285715    sum:100
鼻   pt:62.337662337662465    sum:308
学问   pt:62.2222222222223    sum:517
准备   pt:62.166666666666686    sum:118
圣贤   pt:62.0    sum:102
宗旨   pt:62.0    sum:124
刻薄   pt:61.82857142857145    sum:118
肺   pt:61.82352941176471    sum:132
神情   pt:61.72374727668895    sum:725
推翻   pt:61.555555555555564    sum:95
暗   pt:61.5    sum:124
杂志   pt:61.37467700258406    sum:249
陶醉   pt:61.333333333333336    sum:102
盆   pt:61.26666666666667    sum:150
缝纫   pt:61.0    sum:105
失效   pt:61.0    sum:172
不合   pt:61.0    sum:110
浴室   pt:60.999999999999915    sum:153
绝境   pt:60.83333333333334    sum:115
颊   pt:60.833333333333336    sum:95
背诵   pt:60.66666666666666    sum:92
深沉   pt:60.57142857142857    sum:88
烟   pt:60.53333333333333    sum:90
土棍   pt:60.39999999999999    sum:91
艰巨   pt:60.39285714285714    sum:136
任职   pt:60.28571428571438    sum:138
宽恕   pt:60.14285714285714    sum:140
缘分   pt:60.06666666666667    sum:116
接吻   pt:60.066666666666634    sum:126
拾   pt:60.040404040404106    sum:246
活像   pt:60.0    sum:70
谈判   pt:60.0    sum:164
救治   pt:60.0    sum:66
搜查   pt:60.0    sum:164
所属   pt:60.0    sum:112
大厦   pt:59.99999999999997    sum:108
断言   pt:59.86666666666666    sum:148
厨房   pt:59.848484848484745    sum:320
篡改   pt:59.599999999999994    sum:86
补救   pt:59.5    sum:102
上下   pt:59.4646464646465    sum:154
审定   pt:59.38095238095237    sum:100
恶毒   pt:59.333333333333336    sum:147
角   pt:59.33333333333333    sum:114
借口   pt:59.20000000000001    sum:114
温顺   pt:59.166666666666636    sum:121
报应   pt:59.133333333333354    sum:134
月亮   pt:59.09090909090909    sum:90
部件   pt:59.00000000000001    sum:147
首   pt:58.85714285714282    sum:107
放心   pt:58.79999999999981    sum:328
荣誉   pt:58.66666666666666    sum:107
异议   pt:58.60000000000003    sum:127
辛酸   pt:58.28571428571428    sum:118
幼小   pt:58.266666666666666    sum:98
短促   pt:58.197802197802034    sum:286
能干   pt:58.00000000000004    sum:115
小人   pt:58.0    sum:90
颜色   pt:58.0    sum:87
手记   pt:58.0    sum:112
剥夺   pt:58.0    sum:85
保证人   pt:57.60000000000004    sum:89
神   pt:57.547619047619044    sum:114
流泪   pt:57.3333333333334    sum:119
琐碎   pt:57.33333333333336    sum:113
走廊   pt:57.333333333333314    sum:120
养殖   pt:57.266666666666666    sum:82
战场   pt:56.90158730158746    sum:162
假日   pt:56.85000000000002    sum:133
并重   pt:56.80000000000002    sum:114
销售   pt:56.79999999999973    sum:502
明星   pt:56.700000000000045    sum:653
入行   pt:56.53333333333333    sum:107
推敲   pt:56.46666666666664    sum:110
厕所   pt:56.459523809523695    sum:287
童年   pt:56.40000000000004    sum:160
体制   pt:56.400000000000006    sum:1499
方音   pt:56.399999999999984    sum:144
翘   pt:56.30158730158725    sum:220
附近   pt:56.24000000000004    sum:148
警察   pt:56.22222222222242    sum:229
夺取   pt:56.20000000000002    sum:109
俊美   pt:56.0    sum:80
赛车   pt:56.0    sum:85
花头   pt:56.0    sum:171
改过   pt:56.0    sum:191
哺乳   pt:55.999999999999986    sum:116
大浪   pt:55.80000000000001    sum:96
瓶   pt:55.66666666666664    sum:95
证据   pt:55.35775401069548    sum:668
炫耀   pt:55.33333333333336    sum:108
草坪   pt:55.333333333333336    sum:88
质变   pt:54.96969696969697    sum:78
幸亏   pt:54.904761904761926    sum:121
情欲   pt:54.83333333333333    sum:112
检举   pt:54.720390720390895    sum:236
计策   pt:54.66666666666669    sum:111
介绍   pt:54.5882352941185    sum:2622
安置   pt:54.5    sum:99
头衔   pt:54.33333333333331    sum:106
创见   pt:54.26666666666662    sum:257
冲洗   pt:54.14285714285713    sum:119
界   pt:54.05714285714284    sum:111
握手   pt:54.0    sum:69
座   pt:54.0    sum:93
公堂   pt:54.0    sum:60
盘旋   pt:54.0    sum:100
宝藏   pt:53.91523935002202    sum:1768
月经   pt:53.897129186602854    sum:121
灌溉   pt:53.733333333333334    sum:81
妒忌   pt:53.500000000000014    sum:151
能够   pt:53.46666666666667    sum:99
兜销   pt:53.428571428571374    sum:112
拘束   pt:53.39999999999999    sum:90
亏空   pt:53.263157894737006    sum:316
盒子   pt:53.21818181818189    sum:171
时刻   pt:53.185077519379746    sum:1246
斟酌   pt:52.999999999999964    sum:94
瞥   pt:52.900000000000176    sum:583
否定   pt:52.85714285714283    sum:83
暖气   pt:52.666666666666686    sum:81
责任   pt:52.357194060420355    sum:707
昆虫   pt:52.349999999999994    sum:80
贺年   pt:52.33333333333336    sum:99
作风   pt:52.2    sum:95
球体   pt:52.16666666666663    sum:258
大概   pt:52.00000000000006    sum:141
连绵   pt:52.0    sum:106
绚丽   pt:51.999999999999986    sum:100
毒品   pt:51.86666666666667    sum:87
华丽   pt:51.800000000000004    sum:86
字数   pt:51.752380952380996    sum:147
吗   pt:51.714285714285715    sum:87
巡逻   pt:51.66666666666668    sum:87
亡国   pt:51.66666666666668    sum:90
跌倒   pt:51.657142857142894    sum:125
增值   pt:51.5    sum:113
出头   pt:51.43333333333333    sum:102
更加   pt:51.28888888888892    sum:108
序言   pt:51.19999999999999    sum:76
俘虏   pt:51.0    sum:79
湖泊   pt:51.0    sum:83
响   pt:50.857142857142854    sum:107
木料   pt:50.74458874458874    sum:107
屎   pt:50.59428271702071    sum:153
祖宗   pt:50.5177304964539    sum:124
空   pt:50.51282051282037    sum:272
亏损   pt:50.5    sum:88
后路   pt:50.33333333333336    sum:77
专心   pt:50.333333333333336    sum:145
奔泻   pt:50.0    sum:77
怯懦   pt:50.0    sum:93
象牙   pt:50.0    sum:133
死力   pt:50.0    sum:135
恨   pt:50.0    sum:135
无愧   pt:50.0    sum:64
颜料   pt:49.805629597139024    sum:949
中学   pt:49.79999999999999    sum:159
实体   pt:49.78947368421056    sum:299
羊   pt:49.77777777777783    sum:125
倾听   pt:49.71428571428571    sum:79
大妈   pt:49.70931677018643    sum:192
财富   pt:49.66666666666667    sum:80
候选人   pt:49.571428571428555    sum:110
备考   pt:49.5    sum:115
迟   pt:49.3333333333334    sum:162
臀   pt:49.06666666666676    sum:136
惹气   pt:49.00000000000002    sum:86
广博   pt:49.0    sum:67
提神   pt:48.94179894179906    sum:630
保卫   pt:48.83333333333334    sum:95
下雪   pt:48.666666666666664    sum:85
搭腔   pt:48.61904761904762    sum:97
弹奏   pt:48.6    sum:188
引诱   pt:48.6    sum:94
祖母   pt:48.333333333333385    sum:214
摄影机   pt:48.33333333333336    sum:133
诬蔑   pt:48.33333333333333    sum:98
武术   pt:48.2    sum:77
感动   pt:48.000000000000036    sum:96
预兆   pt:48.0    sum:95
比方   pt:48.0    sum:111
逼真   pt:48.0    sum:135
叫   pt:48.0    sum:95
征求   pt:48.0    sum:83
集镇   pt:47.888888888888914    sum:88
上   pt:47.79487179487181    sum:103
豆   pt:47.69696969696968    sum:116
巧遇   pt:47.66666666666667    sum:74
红外线   pt:47.66666666666666    sum:75
临时   pt:47.499999999999986    sum:89
圆圈   pt:47.466666666666676    sum:87
浆洗   pt:47.375    sum:82
住户   pt:47.33333333333333    sum:79
